message_id,thread_id,arrival_min,process_end_min,gold_priority,pred_priority,gold_reply_type,pred_reply_type,pred_action_summary,pred_facts_used,pred_draft_reply,pred_scratchpad_update,needs_memory,gold_required_key,gold_required_value,invalid_output,api_error,input_tokens,output_tokens,scratchpad_chars_after,priority_acc,reply_acc,fact_recall,hallucination,latency_min,on_time,quality_score,episode_id,n_threads
ep-00000-m-0010,ep-00000-th-011,13.958,14.308,P1,P1,ANSWER,REQUEST_INFO,"Acknowledge request and ask for key constraints (goals, must-haves, timeline, dependencies) to recommend scope cuts and an MVP plan for project H858; then provide a structured recommendation once details are shared.","[""Email thread ep-00000-th-011 is for project H858"", ""Owner: Casey Clark"", ""Due date: 2001-12-06"", ""Request: recommend what to remove first if scope must be cut; propose minimal viable plan""]","Hi Casey — I can recommend an MVP and what to cut first, but I’ll need a bit more context to make the tradeoffs correctly.

Can you share:
1) The current scope list (features/deliverables) and what’s considered “must-have” vs “nice-to-have”
2) The primary success criteria for H858 (what outcome we must preserve)
3) Key constraints: deadline immovable vs flexible, budget/people limits
4) Any hard dependencies/compliance requirements and what’s already in progress/near completion

Once I have that, I’ll reply with a minimal viable plan (Phase 1) plus a ranked cut list (Phase 2/deferrals) and the rationale for each tradeoff.","thread ep-00000-th-011: project H858; owner Casey Clark; due 2001-12-06; scope tradeoff request—recommend what to cut first + minimal viable plan; need current scope list, must-haves, success criteria, constraints, dependencies to advise.",0,none,nan,0,0,939,345,1739,1.0,0.0,1.0,0.0,0.34999999999999964,1.0,0.7,ep-00000,50
ep-00000-m-0011,ep-00000-th-012,16.729,17.079,P2,P2,ACK,NONE,No reply needed; log new thread details for project L665 and wait for fuller update.,"[""Email subject indicates FYI update for project L665"", ""Body: Project L665; owner Sam Clark; due 2001-12-12; progress made; fuller update later"", ""Thread id ep-00000-th-012""]",,thread ep-00000-th-012: project L665; owner Sam Clark; due 2001-12-12; FYI progress update; fuller update later; no action needed.,0,none,nan,0,0,984,140,1870,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0012,ep-00000-th-013,17.625,17.975,P0,P0,ANSWER,REQUEST_INFO,Urgent: request the final contract document/summary of changes and confirm who must sign; offer immediate review and turnaround before 2001-10-19 deadline.,"[""Email thread ep-00000-th-013: Project Z564"", ""Owner: Jordan Miller"", ""Due/action needed by 2001-10-19"", ""Request: sign-off on final contract terms to execute before deadline""]","Subject: Re: [URGENT] Contract signature | Z564

Jordan — I can review and provide sign-off, but I’ll need the final contract version (PDF/link) and a brief summary of what changed since the last reviewed draft (or the key terms you need confirmed). 

Also please confirm:
1) Who is the required signatory on our side, and is there a specific signature workflow/tool we must use?
2) Any non-negotiable deadline/timezone for execution on 2001-10-19.

Once I have the final version, I can turn review around ASAP today.",thread ep-00000-th-013: project Z564; owner Jordan Miller; due 2001-10-19; urgent contract sign-off needed; requested final contract version + change summary + signatory/workflow + execution deadline details.,0,none,nan,0,0,1041,292,2079,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0013,ep-00000-th-014,18.168,18.518,P0,P0,ANSWER,REQUEST_INFO,Respond urgently requesting the revised plan/link and approval criteria; commit to review by 2001-03-22 once materials are provided.,"[""Email: Project A552"", ""Owner: Jamie Khan"", ""Due/action needed by 2001-03-22"", ""Request: approval on revised plan to avoid slipping due date""]","Hi Jamie — I can review and approve, but I’ll need the revised plan (doc/link) and a quick summary of what changed vs. the prior version. 

Also please confirm what specifically you need from me (formal sign-off in a tool/email approval) and any key decision points/risks you want me to focus on. Once you send that over, I’ll turn it around by 2001-03-22.",thread ep-00000-th-014: project A552; owner Jamie Khan; due 2001-03-22; urgent approval needed on revised plan; requested plan/link + change summary + approval mechanism/criteria.,0,none,nan,0,0,1092,234,2259,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0014,ep-00000-th-015,20.331,20.681,P1,P1,REQUEST_INFO,REQUEST_INFO,"Ask sender to clarify what the “next action” refers to (deliverable/decision), who the candidate owners are, and any constraints/dependencies so we can assign ownership and timeline for project K761.","[""Email: Project K761"", ""Email: Owner Casey Kim"", ""Email: Due 2001-07-10"", ""Email asks: who owns next action and expected timeline"", ""Scratchpad: no existing entry for thread ep-00000-th-015 / project K761""]","Hi — thanks for the note on K761.

To confirm ownership and timeline, could you clarify what the “next action” is (e.g., specific deliverable/decision), and who the candidate owners are (Casey Kim vs another team/person)? Also, is there a target date you’re working toward ahead of the 2001-07-10 due date, and any dependencies/constraints that affect timing?

Once I have that, I can assign an owner and propose an expected timeline.","thread ep-00000-th-015: project K761; owner Casey Kim; due 2001-07-10; requester asks who owns next action + expected timeline; need clarification on what next action is, candidate owners, dependencies/constraints, target date before due.",0,none,nan,0,0,1119,292,2498,1.0,1.0,1.0,0.0,0.3500000000000014,1.0,1.0,ep-00000,50
ep-00000-m-0015,ep-00000-th-016,21.408,21.758000000000003,P2,P2,ACK,NONE,No reply needed; log as FYI minor change for project G897.,"[""Email states: Project G897, owner Taylor Miller, due 2001-12-10, minor change, no action needed.""]",,thread ep-00000-th-016: project G897; owner Taylor Miller; due 2001-12-10; FYI minor change; no action needed.,0,none,nan,0,0,1180,113,2609,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0016,ep-00000-th-017,27.103,27.453000000000003,P2,P2,ACK,NONE,No reply needed; file as FYI minor change for visibility. Update scratchpad with new thread/project details.,"[""Email states: Project F248, owner Morgan Chen, due 2001-11-02."", ""Email indicates FYI minor change; no action needed right now.""]",,thread ep-00000-th-017: project F248; owner Morgan Chen; due 2001-11-02; FYI minor change; no action needed.,0,none,nan,0,0,1218,126,2718,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0017,ep-00000-th-018,31.534,31.884,P2,P2,ACK,NONE,Log new thread ep-00000-th-018 with project code P592 as FYI/progress update; no response needed unless you want to acknowledge.,"[""Email states: Project P592, owner Riley Patel, due 2001-07-09."", ""Email is FYI progress update; fuller update later; no action requested.""]",,thread ep-00000-th-018: project P592; owner Riley Patel; due 2001-07-09; FYI progress update; fuller update later; no action needed.,0,none,nan,0,0,1249,141,2851,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0018,ep-00000-th-019,32.575,32.925000000000004,P1,P1,ANSWER,REQUEST_INFO,"Ask which specific numbers are needed, desired format, and where the update will be published; offer to send/link once clarified.","[""Email thread ep-00000-th-019 is for project X506"", ""Owner: Riley Patel"", ""Due date: 2001-02-24"", ""Request: send requested numbers or point to where they live; needed to finish an update; handle this week""]","Hi Riley — happy to help with X506. Can you confirm which specific numbers you need (metric names + time period), and the preferred format (table in email vs. spreadsheet link)? Also, where is the update going (doc/deck/link) so I can match the structure. Once I have that, I’ll send the figures or point you to the source-of-truth location this week.",thread ep-00000-th-019: project X506; owner Riley Patel; due 2001-02-24; request to send requested numbers / point to location; handle this week; need clarification on which numbers + time period + preferred format + where update will be used.,0,none,nan,0,0,1300,254,3095,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0019,ep-00000-th-020,37.668,38.018,P0,P0,ANSWER,REQUEST_INFO,Urgent blocking incident for project O866 needs go/no-go on fallback by 2001-02-10. Request the minimum details required to make the decision and propose an immediate interim step/time to decide.,"[""Email: Project O866; owner Jordan Clark; due/action needed by 2001-02-10; blocking incident; needs go/no-go decision on fallback option; marked urgent.""]","Jordan — understood this is urgent and blocking for O866, with a go/no-go needed on the fallback by 2001-02-10.

To make the call, can you send (or paste) the following ASAP:
1) Primary path status: what’s blocked and why (error/constraint), and what’s the earliest realistic unblock time.
2) Fallback option: what it is, expected outcome/limitations vs primary, and whether it’s reversible.
3) Impact/risk: customer/user impact, cost, and key risks for GO vs NO-GO.
4) Decision deadline/timezone and who needs to be informed once decided.

If you can’t compile all of that quickly, send a 2–3 sentence summary of (a) fallback downside and (b) risk of waiting, and I’ll make a provisional go/no-go based on that.",thread ep-00000-th-020: project O866; owner Jordan Clark; due 2001-02-10; urgent blocking incident; needs go/no-go decision on fallback option; awaiting details to decide.,0,none,nan,0,0,1367,344,3267,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0020,ep-00000-th-021,40.04,40.39,P2,P2,ACK,NONE,Log as FYI progress update for project I394; no reply needed.,"[""Email subject indicates FYI update for project I394"", ""Body: Owner Jordan Garcia; due 2001-10-06; progress made; fuller update later; noted for reference""]",,thread ep-00000-th-021: project I394; owner Jordan Garcia; due 2001-10-06; FYI progress update; fuller update later; no action needed.,0,none,nan,0,0,1396,127,3402,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0021,ep-00000-th-022,44.843,45.193000000000005,P0,P0,ANSWER,REQUEST_INFO,"Urgent: confirm final board deck numbers for project O994. Request the latest deck, the specific metrics list, and the source-of-truth so you can validate and confirm before distribution by 2001-12-06.","[""Email: Project code O994"", ""Email: Owner Casey Lee"", ""Email: Due/action needed by 2001-12-06"", ""Email: Request is to confirm final board deck numbers (key metrics + narrative) before distribution""]","Hi Casey — I can confirm the final numbers, but I’ll need a couple items to validate quickly:

1) The latest board deck (link or attachment) and which version is intended for distribution
2) The exact list of “key metrics” to confirm (and any definitions/time period)
3) The source-of-truth for each metric (dashboard/report link or file) and who signs off if there’s a discrepancy
4) Any specific narrative callouts that must match the numbers

Once I have those, I’ll review and send back confirmed figures (or flagged deltas) ahead of 2001-12-06.",thread ep-00000-th-022: project O994; owner Casey Lee; due 2001-12-06; urgent request to confirm final board deck numbers (key metrics + narrative) before distribution; need latest deck + metrics list + source-of-truth + narrative callouts to proceed.,0,none,nan,0,0,1452,322,3654,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0022,ep-00000-th-023,46.082,46.432,P1,P1,ANSWER,REQUEST_INFO,Request the latest draft/link and confirm the deadline and what type of feedback is needed (edits vs approval) so review can proceed this week.,"[""Email thread ep-00000-th-023: Project H750"", ""Owner: Taylor Chen"", ""Due date: 2001-05-22"", ""Request: review latest draft and reply with edits or approval; handle this week""]","Hi Taylor — happy to review H750 this week. Could you please share the latest draft (link or attachment) and confirm (1) the deadline/timezone for feedback, and (2) whether you’re looking for line edits, a high-level approval, or both? Once I have the draft, I’ll turn comments around promptly.",thread ep-00000-th-023: project H750; owner Taylor Chen; due 2001-05-22; request review latest draft + provide edits/approval; handle this week; need draft/link + specific feedback deadline + type of feedback (edits vs approval).,0,none,nan,0,0,1505,237,3884,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0023,ep-00000-th-024,49.6,49.95,P0,P0,ANSWER,REQUEST_INFO,Request the revised plan link/doc and a brief change summary plus approval criteria/mechanism so you can review and approve by 2001-02-17 for project D376.,"[""Email: Project D376"", ""Email: Owner Taylor Chen"", ""Email: Due/action needed by 2001-02-17"", ""Email: Urgent approval needed on revised plan to avoid slipping due date""]","Hi Taylor — I can review/approve, but I’ll need the revised plan doc/link. Can you also send a quick summary of what changed vs. the prior plan and what you need from me (formal approval in email vs. sign-off in a tool), plus any specific criteria/risks you want me to focus on? I’ll turn it around by 2001-02-17.",thread ep-00000-th-024: project D376; owner Taylor Chen; due 2001-02-17; urgent approval needed on revised plan; request plan/link + change summary + approval mechanism/criteria.,0,none,nan,0,0,1575,240,4063,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0024,ep-00000-th-025,54.876,55.226,P1,P1,REQUEST_INFO,REQUEST_INFO,Reply asking for the latest status details and the specific next-step owner/date so we can provide an accurate update for project P571.,"[""Email: thread ep-00000-th-025 is Project P571"", ""Owner: Sam Shah"", ""Due date: 2001-09-07"", ""Requester asks: current status and next step""]","Hi Sam,

Thanks for the check-in on P571. Can you share the latest status (e.g., last completed milestone and any current blockers) and confirm what you see as the next step (owner + target date)? If there’s a tracker/doc link, please include it and I’ll summarize back with the current status and next action.

Regards,","thread ep-00000-th-025: project P571; owner Sam Shah; due 2001-09-07; status/next-step requested; need latest status, blockers, and next-step owner+date (tracker link if available).",0,none,nan,0,0,1597,229,4245,1.0,1.0,1.0,1.0,0.3500000000000014,1.0,0.8,ep-00000,50
ep-00000-m-0025,ep-00000-th-026,55.206,55.576,P2,P2,ACK,NONE,"No reply needed; log as FYI minor change for project A554 (owner Jordan Patel, due 2001-08-04).","[""Email thread ep-00000-th-026 is a thread anchor for project A554."", ""Owner: Jordan Patel."", ""Due date: 2001-08-04."", ""Email states: FYI minor change; no action needed right now.""]",,thread ep-00000-th-026: project A554; owner Jordan Patel; due 2001-08-04; FYI minor change; no action needed.,0,none,nan,0,0,1651,148,4355,1.0,0.0,1.0,0.0,0.36999999999999744,1.0,0.7,ep-00000,50
ep-00000-m-0026,ep-00000-th-027,56.225,56.575,P2,P2,ACK,NONE,"No reply needed; FYI only. Log new thread with project code D431, owner Alex Brown, due date, and that it’s a minor change/no action required.","[""Email states: Project D431"", ""Owner: Alex Brown"", ""Due: 2001-05-23"", ""FYI minor change; no action needed right now""]",,thread ep-00000-th-027: project D431; owner Alex Brown; due 2001-05-23; FYI minor change; no action needed.,0,none,nan,0,0,1686,139,4463,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0027,ep-00000-th-028,56.67,57.02,P1,P1,ANSWER,REQUEST_INFO,Request clarification on what the “requested action” is for project E251 and what success/confirmation looks like; ask for any links/files and deadline within the week.,"[""Email: Project E251"", ""Email: Owner Casey Chen"", ""Email: Due 2001-07-02"", ""Email: Request: take the requested action and confirm once done; handle this week"", ""Scratchpad: no existing entry yet for thread ep-00000-th-028 / project E251""]","Hi Casey — I can take this on for Project E251. Can you please confirm what the specific “requested action” is (and share any link/doc/ticket where it’s tracked), plus what you want as confirmation when it’s complete? Also, is there a specific day/time this week you need it by (given the 2001-07-02 due date)? Once I have that, I’ll proceed and update you on status/blockers.","thread ep-00000-th-028: project E251; owner Casey Chen; due 2001-07-02; request to take requested action + confirm; handle this week; need clarification on specific action, link/ticket/docs, success criteria/confirmation, and exact deadline this week.",0,none,nan,0,0,1729,283,4715,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0028,ep-00000-th-029,62.758,63.108000000000004,P0,P0,ANSWER,REQUEST_INFO,Urgent blocking incident for project I228 needs go/no-go on fallback by 2001-02-15; request the minimum details required to make the decision and propose a quick decision call/timebox.,"[""Email: Project I228"", ""Email: Owner Alex Kim"", ""Email: Due/action needed by 2001-02-15"", ""Email: Blocking issue; needs go/no-go decision on fallback option"", ""Scratchpad indicates similar pattern for other threads: go/no-go decisions often awaiting details to decide""]","Subject: Re: [URGENT] Blocking incident | I228

I can make the go/no-go call on the fallback, but I need a few specifics to decide by 2001-02-15:

1) What is the primary path blocked by (root cause + current status)?
2) What exactly is the fallback option (scope/approach) and what changes vs the primary plan?
3) Impact comparison: timeline, cost, quality/risk, and any customer/contractual commitments affected.
4) Decision deadline on 2001-02-15: what time/timezone, and what happens if we don’t decide?
5) Your recommendation (go or no-go) and the top 1–2 risks either way.

If you can send a 3–5 bullet summary (or link to the incident doc) ASAP, I’ll respond with a go/no-go and next steps. If faster, propose a 15-min call today and I’ll join.",thread ep-00000-th-029: project I228; owner Alex Kim; due 2001-02-15; urgent blocking incident; needs go/no-go decision on fallback option; awaiting details to decide.,0,none,nan,0,0,1805,390,4883,1.0,0.0,1.0,0.0,0.3500000000000014,1.0,0.7,ep-00000,50
ep-00000-m-0029,ep-00000-th-030,62.942,63.458000000000006,P1,P1,REQUEST_INFO,REQUEST_INFO,"Reply asking for the latest status details and a concrete next step (owner + date), plus any tracker link, since the email asks for current status/next step but provides no project update.","[""Email thread ep-00000-th-030: project R427"", ""Owner: Riley Patel"", ""Due date: 2001-03-11"", ""Requester asks: current status and next step""]","Hi Riley — checking on Project R427 (due 2001-03-11). Can you share the current status (what’s done / in progress), any blockers/risks, and the next step with an owner and target date? If there’s a tracker/doc link, please include it so I can reference the latest.","thread ep-00000-th-030: project R427; owner Riley Patel; due 2001-03-11; status/next-step requested; need latest status, blockers/risks, next-step owner+date, and tracker/doc link.",0,none,nan,0,0,1829,233,5000,1.0,1.0,1.0,1.0,0.5160000000000053,1.0,0.8,ep-00000,50
ep-00000-m-0030,ep-00000-th-031,63.629,63.979,P2,P2,ACK,ACK,Acknowledge receipt of the draft for project R840; no action required unless issues are found. Update scratchpad with new thread/project details.,"[""Email states: Project R840"", ""Owner: Morgan Kim"", ""Due date: 2001-07-01"", ""Latest draft shared for reference; no action required unless an issue is spotted"", ""Thread id: ep-00000-th-031""]","Thanks, Morgan—received the latest R840 draft. I’ll take a look and will flag anything that seems off; otherwise no action needed on my side for now.",thread ep-00000-th-031: project R840; owner Morgan Kim; due 2001-07-01; draft shared for reference; no action required unless issues spotted.,0,none,nan,0,0,1861,186,5000,1.0,1.0,1.0,0.0,0.3500000000000014,1.0,1.0,ep-00000,50
ep-00000-m-0031,ep-00000-th-032,65.757,66.107,P2,P2,ACK,NONE,No action needed; file as FYI. Update scratchpad with new thread/project details (H956).,"[""Email states: Project H956, owner Jamie Clark, due 2001-02-06."", ""Email indicates FYI minor change; no action needed right now.""]",,thread ep-00000-th-032: project H956; owner Jamie Clark; due 2001-02-06; FYI minor change; no action needed.,0,none,nan,0,0,1854,126,5000,1.0,0.0,1.0,0.0,0.3499999999999943,1.0,0.7,ep-00000,50
ep-00000-m-0032,ep-00000-th-033,65.944,66.457,P2,P2,ACK,NONE,Log as FYI schedule change for project Z605; no response needed unless asked for confirmation or input.,"[""Email subject: Schedule change | Z605"", ""Thread ep-00000-th-033"", ""Project code Z605"", ""Owner Jamie Chen"", ""Due 2001-05-11"", ""Body indicates FYI timeline shifted; they will adjust and confirm new plan; no action requested""]",,thread ep-00000-th-033: project Z605; owner Jamie Chen; due 2001-05-11; FYI schedule/timeline shifted; they will adjust and confirm new plan; no action needed.,0,none,nan,0,0,1854,157,5000,1.0,0.0,1.0,0.0,0.512999999999991,1.0,0.7,ep-00000,50
ep-00000-m-0033,ep-00000-th-034,66.322,66.80699999999999,P2,P2,ACK,NONE,Log as FYI progress update for project Y703; no response needed unless you want to acknowledge receipt.,"[""Email is an FYI update for project Y703"", ""Owner: Sam Kim"", ""Due date: 2001-09-09"", ""They made progress and will follow up with a fuller update later""]",,thread ep-00000-th-034: project Y703; owner Sam Kim; due 2001-09-09; FYI progress update; fuller update later; no action needed.,0,none,nan,0,0,1860,136,5000,1.0,0.0,1.0,0.0,0.4849999999999852,1.0,0.7,ep-00000,50
